Date,CPI,EUR,investment_intentions,export,import,employment_intentions,USD,HPI,AllRetailingExcludingAutomotiveFuel,export_oil,import_oil,export_services,import_services,export_goods,import_goods
2015-01-01,99.3,1.303933,1.9,24.151,35.557,1.2,1.515496,7,25918074,-475,-1151,343,377,325,-524
2015-02-01,99.5,1.351052,1.9,23.273,34.975,1.2,1.532786,6.7,26042013,33,299,-24,330,-648,403
2015-03-01,99.7,1.383091,1.9,23.961,34.936,1.2,1.497773,6.7,32672199,77,307,-420,125,66,296
2015-04-01,99.9,1.382265,1.6,24.169,34.146,1.4,1.494783,5.3,26155888,-132,-41,-686,-119,631,-1226
2015-05-01,100.1,1.38366,1.6,25.089,33.868,1.4,1.545609,5.3,26218225,860,-177,-540,-155,-18,224
2015-06-01,100.2,1.388277,1.6,24.496,34.026,1.4,1.555909,5.2,32861565,-456,180,-199,-72,-256,-22
2015-07-01,100,1.413669,1.7,22.482,33.819,1,1.55564,5.5,26322547,-117,-365,198,71,-1661,12
2015-08-01,100.3,1.399136,1.7,23.315,33.549,1,1.559607,5.2,26093366,-240,-141,447,166,1268,281
2015-09-01,100.2,1.365126,1.7,23.665,32.808,1,1.534498,5.3,33160432,-188,-104,527,196,406,-725
2015-10-01,100.3,1.366313,1.7,23.19,34.555,0.9,1.533043,5.6,26142003,36,411,447,179,-898,1230
2015-11-01,100.3,1.416147,1.7,22.829,34.454,0.9,1.519415,6.8,26498619,223,-502,250,106,-465,-724
2015-12-01,100.3,1.374571,1.7,22.662,33.026,0.9,1.498427,6.9,32607200,-249,-263,44,40,112,-784
2016-01-01,99.5,1.326288,1.1,22.885,35.034,0.6,1.4394,7.8,26626562,-131,-87,28,-36,630,1102
2016-02-01,99.8,1.288149,1.1,23.344,34.576,0.6,1.43046,7.7,26557570,87,-159,-82,-20,222,878
2016-03-01,100.2,1.280626,1.1,24.906,34.377,0.6,1.422644,8.2,32970620,-12,392,-94,26,-389,-348
2016-04-01,100.2,1.261147,1.1,25.954,36.333,0.3,1.431406,8,26546421,407,11,-59,70,1835,1451
2016-05-01,100.4,1.285265,1.1,23.762,35.121,0.3,1.454371,8.6,26820835,-57,-333,-32,61,-1235,-1286
2016-06-01,100.6,1.262239,1.1,23.997,36.917,0.3,1.421697,9.3,33298567,-87,763,-14,21,373,498
2016-07-01,100.6,1.188076,0.1,25.874,35.235,-0.1,1.316098,8,27281734,80,-101,268,-233,186,-571
2016-08-01,100.9,1.168319,0.1,26.288,37.435,-0.1,1.311068,6.8,27179355,-149,-8,133,-108,243,1826
2016-09-01,101.1,1.172481,0.1,26.076,38.774,-0.1,1.315714,7,34026716,-69,261,30,20,253,730
2016-10-01,101.2,1.11963,0.2,,,0,1.233652,6.9,27757120,138,59,-104,176,1042,-671
